Citation	Full Reference	Data Type	Resource Type	Resource Type Comment	Methods	Methods Comment	Location	Year	Accession	Accession Type
11	Padovani, R., Ward, L., Smith, R. M., Pocock, M. J. O., & Roy, D. B. (2020). Insect species richness for each plant species and insect-plant interactions from the Database of Insects and their Food Plants [DBIF] version 2 [Dataset]. NERC Environmental Information Data Centre. https://doi.org/10.5285/33a825f3-27cb-4b39-b59c-0f8182e8e2e4	Digital	Database		Metaanalysis		United Kingdom	2020	10.5285/33a825f3-27cb-4b39-b59c-0f8182e8e2e4	DOI
12	Valdez. (2020). Data from: Arthropods as vertebrate predators: a review of global patterns [Data set]. Dryad. https://doi.org/10.5061/dryad.9p8cz8wd6	Digital	Primary literature		Metaanalysis		Global	2020	10.5061/dryad.9p8cz8wd6	DOI
13	Stary, P., & Havelka, J. (2008). Fauna and associations of aphid parasitoids in an up-dated farmland area (Czech Republic). In BULLETIN OF INSECTOLOGY (Vol. 61, Issue 2, pp. 251–276). ALMA MATER STUDIORUM, UNIV BOLOGNA.	Digital	Primary literature		Visual observation		Czech Republic	2008	https://www.researchgate.net/publication/228484851_Fauna_and_associations_of_aphid_parasitoids_in_an_up-dated_farmland_area_Czech_Republic	URL
14	Kuhlmann, U., Carl, K. P., & Mills, N. J. (1998). Quantifying the impact of insect predators and parasitoids on populations of the apple ermine moth, Yponomeuta malinellus (Lepidoptera: Yponomeutidae), in Europe. Bulletin of Entomological Research, 88(2), 165–175. https://doi.org/10.1017/S0007485300025736	Analogue	Primary literature		Visual observation		Europe	1998	10.1017/S0007485300025736	DOI
15	Kaltenbach, A., Helmcke, J. G., Starck, D., Wermuth, H., & Kükenthal, W. (1978). Mecoptera (Schnabelhafte, Schnabelfliegen). Walter de Gruyter. https://books.google.ch/books?id=YDJa0AEACAAJ	Analogue	Book	Identification literature	NA		Global	1978	978-31-1007-432-1	ISBN-13
16	Rozkosny, R., & Kniepert, F. W. (2000). Süßwasserfauna von Mitteleuropa, Bd. 21/18+19: Insecta: Diptera: Stratiomyidae und Tabanidae. Spektrum Akademischer Verlag. https://books.google.ch/books?id=1fZMAQAACAAJ	Analogue	Book	Identification literature	NA		NA	2000	978-38-2740-986-7	ISBN-13
17	Haupt, J., & Haupt, H. (1998). Fliegen und Mücken: Beobachtung, Lebensweise. Naturbuch-Verlag. https://books.google.ch/books?id=Y_VMAAAAYAAJ	Analogue	Book	Identification literature	NA		NA	1998	978-38-9440-278-5	ISBN-13
18	Benadi, G., Hovestadt, T., Poethke, H.-J., & Blüthgen, N. (2014). Data from: Specialization and phenological synchrony of plant–pollinator interactions along an altitudinal gradient (Version 1, p. 158860 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.8MN44	Digital	Primary literature		Visual observation		Europe	2014	10.5061/dryad.8mn44	DOI
19	Haelewaters, D., Pfliegler, W. P., Szentiványi, T., Földvári, M., Sándor, A. D., Barti, L., Camacho, J. J., Gort, G., Estók, P., Hiller, T., Dick, C. W., & Pfister, D. H. (2017). Parasites of parasites of bats: Laboulbeniales (Fungi: Ascomycota) on bat flies (Diptera: Nycteribiidae) in central Europe. Parasites & Vectors, 10(1), 96. https://doi.org/10.1186/s13071-017-2022-y	Digital	Primary literature		Visual observation		Hungary; Romania	2017	10.1186/s13071-017-2022-y	DOI
20	Graf, W., Murphy, J., Dahl, J., Zamora-Muñoz, C., & López-Rodríguez, M. J. (2008). Vol. 1. Trichoptera. Distribution and Ecological Preferences of European Freshwater Organisms. Pensoft Publishers, Sofia, Moscow.	Analogue	Book		Metaanalysis		Mainland Europe; Anatolia	2008	978-95-4642-441-9	ISBN-13
21	Ulmer, G. (1909). Trichoptera (1961 reprinting). G. Fischer.	Analogue	Book	Identification literature	NA		NA	1909	10.5962/bhl.title.8526	DOI
22	Smit, F. G. A. M. (1966). Siphonaptera. Insecta Helvetica. Catalogus, 1.	Analogue	Book	Identification literature	NA		Switzerland	1966	10.5169/seals-1006744	DOI
23	Bertrand, C., Eckerter, P. W., Ammann, L., Entling, M. H., Gobet, E., Herzog, F., Mestre, L., Tinner, W., & Albrecht, M. (2019). Data from: Seasonal shifts and complementary use of pollen sources by two bee, a lacewing and a ladybeetle species in European agricultural landscapes (Version 1, p. 359813 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.6836P06	Digital	Primary literature		Morphological analysis	Pollen collected by bees were identified 	Switzerland; Germany	2019	10.5061/dryad.6836p06	DOI
24	Fisogni, A., Hautekèete, N., Piquot, Y., Brun, M., Vanappelghem, C., Ohlmann, M., & Massol, F. (2020). Modifications of the plant-pollinator network structure and species’ roles along a gradient of urbanization (Version 1) [Dataset]. Zenodo. https://doi.org/10.5281/zenodo.3606016	Digital	Database		NA		NA	2020	10.5281/zenodo.3606016	DOI
25	Šigut, M., Šigutová, H., Šipoš, J., Pyszko, P., Kotásková, N., & Drozd, P. (2019). Data from: Vertical canopy gradient shaping the stratification of leaf-chewer-parasitoid interactions in a temperate forest (Version 1, p. 617368 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.HK4948N	Digital	Primary literature		Visual observation		Czech Republic	2019	10.5061/dryad.hk4948n	DOI
26	Rome, Q., Perrard, A., Muller, F., Fontaine, C., Quilès, A., Zuccon, D., & Villemant, C. (2021). Not just honeybees: Predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales de La Société Entomologique de France (N.S.). https://www.tandfonline.com/doi/full/10.1080/00379271.2020.1867005	Digital	Primary literature		DNA metabarcoding; Morphological analysis	Morphological analysis of prey	France	2021	10.1080/00379271.2020.1867005	DOI
27	White, M. (1976). Insecta 2. Blattodea, Mantodea, Isoptera, Grylloblattodea, Phasmatodea, Dermaptera and Embioptera. Schweizerbart Science Publishers. http://www.schweizerbart.de//publications/detail/isbn/9783443260057/M\_White\_Animal\_Cytogenetics\_Vol\_3\_I	Analogue	Book		NA		NA	1976	978-34-4326-005-7	ISBN-13
28	Macfadyen, S., Gibson, R., Polaszek, A., Morris, R. J., Craze, P. G., Planqué, R., Symondson, W. O. C., & Memmott, J. (2013). Data from: Do differences in food web structure between organic and conventional farms affect the ecosystem service of pest control? (Version 1, p. 224668 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.5FR85	Digital	Primary literature		Visual observation		United Kingdom	2013	10.5061/dryad.5fr85 	DOI
29	Kuhlmann, U. (1995). BIOLOGY OF TRIARTHRIA SETIPENNIS (FALLÉN) (DIPTERA: TACHINIDAE), A NATIVE PARASITOID OF THE EUROPEAN EARWIG, FORFICULA AURICULARIA L. (DERMAPTERA: FORFICULIDAE), IN EUROPE. The Canadian Entomologist, 127(4), 507–517. Cambridge Core. https://doi.org/10.4039/Ent127507-4	Analogue	Primary literature		Visual observation		Switzerland; Germany; Austria; France	1995	10.4039/Ent127507-4	DOI
30	Neff, F., Brändle, M., Ambarli, D., Ammer, C., Bauhus, J., Boch, S., Hölzel, N., Klaus, V. H., Kleinebecker, T., Prati, D., Schall, P., Schäfer, D., Schulze, E. D., Seibold, S., Simons, N. K., Weisser, W. W., Pellissier, L., & Gossner, M. M. (2021). Changes in plant-herbivore network structure and robustness along land-use intensity gradients in grasslands and forests. Science Advances, 7(20), 18. https://doi.org/10.1126/SCIADV.ABF3985/SUPPL_FILE/ABF3985_SM.PDF	Digital	Primary literature		Visual observation		Germany	2021	10.1126/sciadv.abf3985	DOI
31	Starý, P. (2006). Aphid parasitoids of the Czech Republic (Hymenoptera: Braconidae, Aphidiinae). Academia.	Analogue	Primary literature		Visual observation		Czech Republic	2006	80-2001-384-9	ISBN-10
32	Holman, J. (2008). Host Plant Catalog of Aphids: Palaearctic Region. Springer Netherlands. https://books.google.ch/books?id=7mSgYehk-2QC	Analogue	Book		NA		Central Europe; Southeastern Europe; Central Asia; Russia	2008	10.1007/978-1-4020-8286-3	DOI
33	Vorburger, C., Herzog, J., & Rouchet, R. (2017). Data from: Aphid specialization on different summer hosts is associated with strong genetic differentiation and unequal symbiont communities despite a common mating habitat (Version 1, p. 147574 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.5615G	Digital	Primary literature		DNA metabarcoding		Switzerland; France	2017	10.5061/dryad.5615g	DOI
34	Vorburger, C., & Rouchet, R. (2016). Data from: Are aphid parasitoids locally adapted to the prevalence of defensive symbionts in their hosts? (Version 1, p. 255724 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.F8F8H	Digital	Primary literature		DNA metabarcoding		Switzerland; France	2016	10.5061/dryad.f8f8h	DOI
35	Ducotterd, C., Crovadore, J., Lefort, F., Guisan, A., Ursenbacher, S., & Rubin, J.-F. (2020). The feeding behaviour of the European pond turtle (Emys orbicularis, L. 1758) is not a threat for other endangered species. Global Ecology and Conservation, 23, e01133. https://doi.org/10.1016/j.gecco.2020.e01133	Digital	Primary literature		DNA metabarcoding	Analysis of feces	Switzerland	2020	10.1016/j.gecco.2020.e01133	DOI
36	Eero, J., Kaunisto, K. M., Roslin, T., Forbes, M., Morril, A., Puisto, A., Sääksjärvi, I., & Thomas, L. (2020). Threats from the air: Damselfly predation on diverse prey taxa (Version 1) [Dataset]. Dryad. https://doi.org/10.5061/dryad.zs7h44j4z	Digital	Primary literature		DNA metabarcoding	Analysis of feces	Finland	2018	10.5061/dryad.zs7h44j4z	DOI
37	Kaunisto, Roslin, T., Sääksjärvi, I. E., & Vesterinen, E. J. (2018). Data from: Pellets of proof: first glimpse of the dietary composition of adult odonates as revealed by metabarcoding of feces [Data set]. Dryad. https://doi.org/10.5061/dryad.5n92p	Digital	Primary literature		DNA metabarcoding		Finland	2020	10.5061/dryad.5n92p	DOI
38	Röösli, T., Steffen, M., Berner, D., Schweiz, S. V. S., & Schweizer Vogelschutz, V. für V. N. (2004). Heuschrecken der Schweiz. SVS. https://books.google.ch/books?id=KWabGwAACAAJ	Analogue	Book	Identification literature	NA		Switzerland	2004	https://www.birdlife.ch/de/content/feldfuehrer-heuschrecken-der-schweiz	URL
39	Weidner, H., Helmcke, J. G., Starck, D., Wermuth, H., & Kükenthal, W. (1972). Copeognatha (Psocodea). Walter de Gruyter. https://books.google.ch/books?id=pRhe0AEACAAJ	Analogue	Book	Identification literature	NA		Global	1972	978-31-1004-347-1	ISBN-13
40	Szentkirályi, F., & Krištín, A. (2002). Lacewings and snakeflies (Neuroptera, Raphidioptera) as prey for bird nestlings in Slovakian forest habitats. Acta Zoologica Academiae Scientiarum Hungaricae, 48, 329–340.	Analogue	Primary literature		Visual observation		Slovakia	2002	http://actazool.nhmus.hu/48Suppl2/szentkibird.pdf	URL
41	Mound, L. A. (2005). THYSANOPTERA: Diversity and Interactions. Annual Review of Entomology, 50(Volume 50, 2005), 247–269. https://doi.org/10.1146/annurev.ento.49.061802.123318	Analogue	Primary literature		NA		NA	2005	10.1146/annurev.ento.49.061802.123318	DOI
42	Zwahlen, Nentwig, W., Bigler, F., & Hilbeck, A. (2000). Tritrophic Interactions of Transgenic Bacillus thuringiensis Corn, Anaphothrips obscurus (Thysanoptera: Thripidae), and the Predator Orius majusculus (Heteroptera: Anthocoridae). Environmental Entomology, 29(4), 846–850. https://doi.org/10.1603/0046-225X-29.4.846	Analogue	Primary literature		Experimental observation		NA	2000	10.1603/0046-225X-29.4.846	DOI
43	Székessy, V. (1970). Strepsiptera. Catalogus faunae Austriae Teil 15 z. Springer, Wien.	Analogue	Book	Identification literature	NA		NA	1970	https://swisscovery.slsp.ch/permalink/41SLSP_NETWORK/1ufb5t2/alma991152547969705501	URL
44	Hughes, D. P., Kathirithamby, J., & Beani, L. (2004). Prevalence of the parasite Strepsiptera in adult Polistes wasps: Field collections and literature overview. Ethology Ecology & Evolution. https://www.tandfonline.com/doi/abs/10.1080/08927014.2004.9522627	Analogue	Primary literature		Visual observation		Italy	2004	10.1080/08927014.2004.9522627	DOI
45	Šerić Jelaska, L., Jurasović, J., Brown, D. S., Vaughan, I. P., & Symondson, W. O. C. (2013). Data from: Molecular field analysis of trophic relationships in soil-dwelling invertebrates to identify mercury, lead and cadmium transmission through forest ecosystems (Version 1, p. 109428 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.5N02F	Digital	Primary literature		DNA metabarcoding	Analysis of gut contents	Croatia; United Kingdom	2013	10.5061/dryad.5n02f	DOI
46	Rosenberg, J., & Voigtländer, K. (2009). Die Hundertfüsser: Chilopoda. In Die Hundertfüsser Chilopoda (1. Auflage). Westarp Wissenschaften.	Analogue	Book	Identification literature	NA		NA	2009	978-38-9432-712-5	ISBN-13
47	Eitzinger, B., Rall, B., Traugott, M., & Scheu, S. (2017). Data from: Testing the validity of functional response models using molecular gut content analysis for prey choice in soil predators (Version 1, p. 99588 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.31T0K	Digital	Primary literature		DNA metabarcoding	Analysis of gut contents	Germany	2017	10.5061/dryad.31t0k	DOI
48	Jean-Richard, P., Keller, H., & Naturschutz, S. B. für. (1994). Krebse in der Schweiz: Erleben, beobachten, bestimmen, hegen. Schweiz. Bund für Naturschutz.	Analogue	Book	Identification literature	NA		Switzerland	1994	https://swisscovery.slsp.ch/permalink/41SLSP_NETWORK/1ufb5t2/alma991135788969705501	URL
49	Spitzer, R., Felton, A., Landman, M., Singh, N. J., Widemo, F., & Cromsigt, J. P. G. M. (2020). Fifty years of European ungulate dietary studies: A synthesis [Dataset]. Dryad. https://doi.org/10.5061/dryad.m905qftz9	Digital	Primary literature		Metaanalysis		Europe; Russia	2020	10.5061/dryad.m905qftz9	DOI
50	Storchová, L., & Hořák, D. (2018). Data from: Life-history characteristics of European birds (Version 1, p. 276064 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.N6K3N	Digital	Primary literature		Metaanalysis		Europe 	2018	10.5061/dryad.n6k3n	DOI
51	Simmons, B. I., Sutherland, W. J., Dicks, L. V., Albrecht, J., Farwig, N., Garcia, D., Jordano, P., & González-Varo, J. P. (2019). Data from: Moving from frugivory to seed dispersal: incorporating the functional outcomes of interactions in plant-frugivore networks (Version 1, p. 145836 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.R3D70M9	Digital	Primary literature		DNA metabarcoding; Visual observation; Metaanalysis		Europe 	2019	10.5061/dryad.r3d70m9	DOI
52	Krüger, F., Clare, E. L., Symondson, W. O. C., Keišs, O., & Pētersons, G. (2013). Data from: Diet of the insectivorous bat Pipistrellus nathusii during autumn migration and summer residence (Version 1, p. 9308391 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.2D38F	Digital	Primary literature		DNA metabarcoding; Morphological analysis	Analysis of feces	Latvia	2013	10.5061/dryad.2d38f	DOI
53	Kervyn, T., Godin, M.-C., Jocqué, R., Grootaert, P., & Libois, R. (2012). Web-building spiders and blood-feeding flies as prey of the notch-eared bat (Myotis emarginatus). Belgian Journal of Zoology, 142(1), Article 1. https://doi.org/10.26496/bjz.2012.137	Digital	Primary literature		Morphological analysis	Morphological analysis of pollen	Belgium	2012	10.26496/bjz.2012.137 	DOI
54	Alberdi, A., Garin, I., Aizpurua, O., & Aihartza, J. (2012). Data from: The foraging ecology of the Mountain long-eared bat Plecotus macrobullaris revealed with DNA mini-barcodes (Version 1, p. 130233 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.611310KT	Digital	Primary literature		DNA metabarcoding	Analysis of feces	France; Spain	2012	10.5061/dryad.611310kt	DOI
55	Ranåker, L., Persson, J., Jönsson, M., Nilsson, P. A., & Brönmark, C. (2014). Piscivore-Prey Fish Interactions: Mechanisms behind Diurnal Patterns in Prey Selectivity in Brown and Clear Water. PLOS ONE, 9(11), e102002. https://doi.org/10.1371/journal.pone.0102002	Analogue	Primary literature		Experimental observation		Sweden	2014	10.1371/journal.pone.0102002	DOI
56	Thalinger, B., Oehm, J., Mayr, H., Obwexer, A., Zeisler, C., & Traugott, M. (2015). Data from: Molecular prey identification in Central European piscivores (Version 1, p. 628290 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.1VF74	Digital	Primary literature		DNA metabarcoding	Analysis of feces	Central Europe	2015	10.5061/dryad.1vf74	DOI
57	Myers, P., Espinosa, R., Parr, C. S., Jones, T., Hammond, G. S., & Dewey, T. A. (2023). The Animal Diversity Web [Dataset]. Retrieved 15 February 2023, from https://animaldiversity.ummz.umich.edu/quaardvark/	Digital	Database		NA		NA	2023	https://animaldiversity.ummz.umich.edu/quaardvark/discuss/24/54/	URL
58	Steinmann, P., & Krämer, W. (1936). Die Fische der Schweiz. Sauerländer.	Analogue	Book	Identification literature	NA		Switzerland	1936	https://swisscovery.slsp.ch/permalink/41SLSP_NETWORK/19n6r1g/alma991171266246205501	URL
59	Pitteloud, C., Descombes, P., Walser, J.-C., Santana, C. N. de, Rasmann, S., & Pellissier, L. (2020). Plant-Orthoptera trophic networks (Lif3web projet). EnviDat. http://dx.doi.org/10.16904/envidat.178	Digital	Primary literature		DNA metabarcoding	Analysis of feces	Switzerland	2021	10.16904/envidat.178.	DOI
60	Ziegler, H. (2019). Dichagyris nigrescens. Schmetterlinge Der Schweiz - Butterflies & Moths of Switzerland. https://www.pieris.ch/seiten/main.php?page=art&art=noct_nigrescens	Analogue	Scientific website		NA		Switzerland	2019	https://www.pieris.ch/seiten/main.php?page=art&art=noct_nigrescens	URL
61	Lampel, G., & Meier, W. (2003). Hemiptera: Sternorrhyncha—Aphidina Teil 1. In Hemiptera Sternorrhyncha—Aphidina. Centre suisse de cartographie de la faune.	Analogue	Book	Identification literature	NA		Switzerland	2005	978-28-8414-019-5	ISBN-13
62	Lampel, G., & Meier, W. (2003). Hemiptera: Sternorrhyncha—Aphidina Teil 2. In Hemiptera Sternorrhyncha—Aphidina. Centre suisse de cartographie de la faune.	Analogue	Book	Identification literature	NA		Switzerland	2005	978-28-8414-028-7	ISBN-13
63	Willner, W. (2013). Taschenlexikon der Käfer Mitteleuropas: Die wichtigsten Arten im Porträt. Quelle & Meyer.	Analogue	Book	Identification literature	NA		Central Europe	2013	978-34-9401-451-7	ISBN-13
64	Boschi, C. (2011). Die Schneckenfauna der Schweiz: Ein umfassendes Bild- und Bestimmungsbuch. Haupt Verl.	Analogue	Book	Identification literature	NA		Switzerland	2011	978-32-5807-697-3	ISBN-13
65	Amiet, F. (1996). Hymenoptera Apidae. 1. Teil , Allgemeiner Teil, Gattungsschlüssel, die Gattungen Apis, Bombus und Psithyrus. Insecta Helvetica. Fauna, 12.	Analogue	Book	Identification literature	NA		Switzerland	1996	10.5169/seals-1006756	DOI
66	Amiet, F., Müller, A., & Neumeyer, R. (2014). Colletes, Dufourea, Hylaeus, Nomia, Nomioides, Rhophitoides, Rophites, Sphecodes, Systropha (Deuxième edition revue et corrigée). Centre suisse de cartographie de la faune.	Analogue	Book	Identification literature	NA		Switzerland	1999	978-28-8414-015-7	ISBN-13
67	Amiet, F., Herrmann, M., Müller, A., & Neumeyer, R. (2001). Halictus, Lasioglossum. Schweizerische Entomologische Gesellschaft.	Analogue	Book	Identification literature	NA		Switzerland	2001	978-28-8414-017-4	ISBN-13
68	Amiet, F., Herrmann, M., Müller, A., & Neumeyer, R. (2004). Anthidium, Chelostoma, Coelioxys, Dioxys, Heriades, Lithurgus, Megachile, Osmia, Stelis. Centre suisse de cartographie de la faune.	Analogue	Book	Identification literature	NA		Switzerland	2004	978-28-8414-021-2	ISBN-13
69	Amiet, F., Herrmann, M., Müller, A., & Neumeyer, R. (2007). Ammobates, Ammobatoides, Anthophora, Biastes, Ceratina, Dasypoda, Epeoloides, Epeolus, Eucera, Macropis, Melecta, Melitta, Nomada, Pasites, Tetralonia, Thyreus, Xylocopa. Centre suisse de cartographie de la faune.	Analogue	Book	Identification literature	NA		Switzerland	2007	978-28-8414-032-4	ISBN-13
70	Amiet, F., Herrmann, M., Müller, A., & Neumeyer, R. (2010). Andrena, Melitturga, Panurginus, Panurgus. Centre Suisse de Cartographie de la Faune.	Analogue	Book	Identification literature	NA		Switzerland	2010	978-28-8414-039-3	ISBN-13
71	Maibach, A., Gonseth, Y., Wildermuth, H., & Robert, P.-A. (2005). Odonata: Die Libellen der Schweiz. In Odonata die Libellen der Schweiz. Centre suisse de cartographie de la faune.	Analogue	Book	Identification literature	NA		Switzerland	2005	978-28-8414-024-7	ISBN-13
72	Stucki, P., Pedroli, J.-C., & Zaugg, B. (2003). Pisces: Atlas. Centre suisse de cartographie de la faune.	Analogue	Book	Identification literature	NA		Switzerland	2018	978-28-8414-020-4	ISBN-13
73	Braunwalder, M. E. (2005). Scorpiones (Arachnida). Centre suisse de Cartographie de la Faune, Schweizerische Entomologische Gesellschaft.	Analogue	Book	Identification literature	NA		Switzerland	2005	978-28-8414-025-6	ISBN-13
74	Studemann, D., Landolt, P., & Sartori, M. (1992). Ephemeroptera (Vol. 9). Schweizerische entomologische Gesellschaft = Société entomologique suisse.	Analogue	Book	Identification literature	NA		Switzerland	1992	10.5169/seals-1006760	DOI
75	Stucki, P., & Zaugg, B. (2005). Decapoda: Atlas. Centre suisse de cartographie de la Faune.	Analogue	Book	Identification literature	NA		Switzerland	2005	978-28-8414-027-1	ISBN-13
76	Bühler, C. (2007). Amphibienlarven der Schweiz: Bestimmung (Vol. 17). Centre suisse de cartographie de la faune.	Analogue	Book	Identification literature	NA		Switzerland	2007	978-28-8414-029-8	ISBN-13
77	Amiet, F., Burckhardt, D., & Gonseth, Y. (2008). Mutillidae, Sapygidae, Scoliidae, Tiphiidae: (Hymenoptera, Vespoidea). In Mutillidae, Sapygidae, Scoliidae, Tiphiidae (Hymenoptera, Vespoidea). Centre suisse de cartographie de la faune.	Analogue	Book	Identification literature	NA		Switzerland	2008	978-28-8414-035-5	ISBN-13
78	Lubini, V., Lubini-Ferlin, V., Knipsel, S., Gonseth, Y., Knispel, S., & Vinçon, G. (2012). Die Steinfliegen der Schweiz: Bestimmung und Verbreitung = Les plécoptères de Suisse: Identification et distribution. In Die Steinfliegen der Schweiz Bestimmung und Verbreitung = Les plécoptères de Suisse: Identification et distribution. Centre suisse de cartographie de la faune.	Analogue	Book	Identification literature	NA		Switzerland	2012	978-28-8414-040-9	ISBN-13
79	Neumeyer, R. (2019). Vespidae (Vol. 31). Info fauna - Centre suisse de cartographie de la faune.	Analogue	Book	Identification literature	NA		Switzerland	2019	978-28-8414-044-1	ISBN-13
80	Altermatt, F., Fiŝer, C., Ŝvara, V., Švara, V., Fiṥer, C., & Alther, R. (2019). Amphipoda (Flohkrebse) der Schweiz: Checkliste, Bestimmung und Atlas. Centre suisse de cartographie de la faune.	Analogue	Book	Identification literature	NA		Switzerland	2019	978-28-8414-045-X	ISBN-13
81	Prie, Vincent (Personal communication, 18.01.2022). Expert opinion on food habits of molluscs.	Analogue	Expert opinion		NA		NA	2022	10.16904/envidat.467	DOI
82	Schmidt-Kloiber, A., & Hering, D. (2015). Www.freshwaterecology.info – An online tool that unifies, standardises and codifies more than 20,000 European freshwater organisms and their ecological preferences. Ecological Indicators, 53, 271–282. https://doi.org/10.1016/J.ECOLIND.2015.02.007	Digital	Database		Metaanalysis		Europe	2015	10.1016/J.ECOLIND.2015.02.007	DOI
83	Graf, R. F., Fischer, C., & Niehaus, M. (2021). Atlas der Säugetiere: Schweiz und Liechtenstein (1. Auflage). Haupt Verlag.	Analogue	Book		NA		Switzerland	2021	978-32-5808-178-6	ISBN-13
84	UKBeetles. (2022). Catharidae. https://web.archive.org/web/20220523230429/https://www.ukbeetles.co.uk/cantharidae	Analogue	Scientific website		NA		United Kingdom	2022	https://web.archive.org/web/20220523230429/https://www.ukbeetles.co.uk/cantharidae	URL
